,eid,title,publicationName,coverDate,refcount,citedby_count,doi
0,2-s2.0-85084138266,Investigation of Grid Connected Solar PV Hosting Capacity in LV Distribution Networks,"2019 IEEE 14th International Conference on Industrial and Information Systems: Engineering for Innovations for Industry 4.0, ICIIS 2019 - Proceedings",2019-12-01,9,3,10.1109/ICIIS47346.2019.9063277
0,2-s2.0-85071005999,Determination of PV hosting capacity in rural distribution network: A study case for Bantul area,International Journal of Renewable Energy Research,2019-06-01,40,3,
0,2-s2.0-85076780733,Photovoltaic Hosting Capacity Estimation Considering the Impact of Electric Vehicles,"2019 IEEE Industry Applications Society Annual Meeting, IAS 2019",2019-09-01,23,2,10.1109/IAS.2019.8912403
0,2-s2.0-85077767247,Investigation of the Impact of Grid-integrated Distributed Generation on MV Network Voltage using Load Flow Sensitivities,"IEEE PES/IAS PowerAfrica Conference: Power Economics and Energy Innovation in Africa, PowerAfrica 2019",2019-08-01,10,2,10.1109/PowerAfrica.2019.8928769
0,2-s2.0-85094576443,Impact of photovoltaic generation on the allowed revenue of the utilities considering the lifespan of transformers: A Brazilian case study,Electric Power Systems Research,2021-03-01,54,2,10.1016/j.epsr.2020.106906
0,2-s2.0-85099659305,Impacts of PV Capacity Allocation Methods on Distribution Planning Studies,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,2020-10-12,11,2,10.1109/TD39804.2020.9299981
0,2-s2.0-84949924293,Integration of distributed generation in medium voltage distribution network using fuzzy logic controller for demand side management,"Proceedings - 2014 Electrical Power and Energy Conference, EPEC 2014",2014-02-27,6,2,10.1109/EPEC.2014.31
0,2-s2.0-85097337433,Analysis of the electrical properties of simbench low voltage benchmark network models,IEEE PES Innovative Smart Grid Technologies Conference Europe,2020-10-26,13,2,10.1109/ISGT-Europe47291.2020.9248706
0,2-s2.0-85099165418,Transient voltage stability effects on hosting capacity of behind-the-meter devices,IEEE Power and Energy Society General Meeting,2020-08-02,25,2,10.1109/PESGM41954.2020.9281652
0,2-s2.0-85081551908,Positive Sequence Current Phase-Based Improved Reverse-Power Protection and a PV Hosting Capacity Assessment Method for Spot Networks,IEEE Access,2020-01-01,23,2,10.1109/ACCESS.2020.2977323
0,2-s2.0-85080929469,A Smart Charging Strategy for Electric Vehicles to Increase their Hosting Capacity in Distribution Systems,"51st North American Power Symposium, NAPS 2019",2019-10-01,22,2,10.1109/NAPS46351.2019.9000329
0,2-s2.0-85030151184,Influence of distributed generation from renewable energy sources on distribution network hosting capacity,"2017 6th International Youth Conference on Energy, IYCE 2017",2017-08-07,20,2,10.1109/IYCE.2017.8003726
0,2-s2.0-85079074331,Variable Power Factor DERs and Their Effect on Hosting Capacity,IEEE Power and Energy Society General Meeting,2019-08-01,7,2,10.1109/PESGM40551.2019.8974035
0,2-s2.0-85059967156,Multi-Objective Optimal Active and Reactive Power Dispatch for Centrally Controlled Distributed PV Systems,"Proceedings - 2018 53rd International Universities Power Engineering Conference, UPEC 2018",2018-11-20,26,2,10.1109/UPEC.2018.8542047
0,2-s2.0-84991406679,Effects of solar and wind generation integration on feeder hosting capacity,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,2016-07-22,12,2,10.1109/TDC.2016.7520022
0,2-s2.0-85063191192,Determination of Hosting Capacity of Solar and Wind Distributed Generation (DG) Using Stochastic Approach,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2019-02-22,22,2,10.1109/TENCON.2018.8650071
0,2-s2.0-85123093705,Feasibility Investigation for Residential Battery Sizing Considering EV Charging Demand,Sustainability (Switzerland),2022-02-01,55,2,10.3390/su14031079
0,2-s2.0-85065960598,On the use of IEC 61850-90-7 for Smart Inverters Integration,"9th International Conference on Intelligent Systems 2018: Theory, Research and Innovation in Applications, IS 2018 - Proceedings",2018-07-02,16,2,10.1109/IS.2018.8710577
0,2-s2.0-85071460316,Scenario-Selection for Hosting Capacity Analysis of Distribution Feeders with Voltage Regulation Equipment,"2019 IEEE Power and Energy Society Innovative Smart Grid Technologies Conference, ISGT 2019",2019-02-01,7,2,10.1109/ISGT.2019.8791586
0,2-s2.0-85116484234,Article short-term cooperative operational scheme of distribution system with high hosting capacity of renewable-energy-based distributed generations,Energies,2021-10-01,32,2,10.3390/en14196340
0,2-s2.0-85086304837,System strength improvement using reactive compensation for enhanced PV hosting capacity,"2019 29th Australasian Universities Power Engineering Conference, AUPEC 2019",2019-11-01,16,2,10.1109/AUPEC48547.2019.211910
0,2-s2.0-85091343582,A Method to Evaluate the Maximum Hosting Capacity of Power Systems to Electric Vehicles,"2020 International Conference on Probabilistic Methods Applied to Power Systems, PMAPS 2020 - Proceedings",2020-08-01,28,2,10.1109/PMAPS47429.2020.9183519
0,2-s2.0-85120063348,Optimal Bilevel Operation-Planning Framework of Distributed Generation Hosting Capacity Considering Rival DISCO and EV Aggregator,IEEE Systems Journal,2022-09-01,34,2,10.1109/JSYST.2021.3123242
0,2-s2.0-85082870806,Distribution system renewable hosting capacity maximization with second-use electric vehicle storage using critical capacity retention calculation model,Electronics (Switzerland),2020-04-01,27,2,10.3390/electronics9040552
0,2-s2.0-85072318127,Integrated grid planning model with high distributed solar PV,"2019 IEEE Milan PowerTech, PowerTech 2019",2019-06-01,13,2,10.1109/PTC.2019.8810792
0,2-s2.0-85099158425,A Method for Maximizing the Hosting Capacity to Electric Vehicles using Feeder Reconfiguration,IEEE Power and Energy Society General Meeting,2020-08-02,27,2,10.1109/PESGM41954.2020.9282115
0,2-s2.0-84961944353,Distributed generation long-term planning in smart distribution systems considering daily optimal operation,"International Conference on Smart Energy Grid Engineering, SEGE 2015",2015-11-10,22,2,10.1109/SEGE.2015.7324604
0,2-s2.0-85059888918,Optimal Siting of PV on the Distribution System with Smart Inverters,"2018 IEEE 7th World Conference on Photovoltaic Energy Conversion, WCPEC 2018 - A Joint Conference of 45th IEEE PVSC, 28th PVSEC and 34th EU PVSEC",2018-11-26,9,2,10.1109/PVSC.2018.8547667
0,2-s2.0-85076680150,Maximizing distribution network hosting capacity through optimal network reconfiguration,"International Conference on the European Energy Market, EEM",2019-09-01,18,2,10.1109/EEM.2019.8916230
0,2-s2.0-85086065178,Hosting Capacity Assessment of Electric Vehicles Integration in Active Distribution System,Journal of Physics: Conference Series,2020-05-13,20,2,10.1088/1742-6596/1478/1/012006
0,2-s2.0-85097343104,Assessment of distributed generation hosting capacity of microgrids with thermal smart loads,IEEE PES Innovative Smart Grid Technologies Conference Europe,2020-10-26,13,2,10.1109/ISGT-Europe47291.2020.9248845
0,2-s2.0-85100772770,Distributed generation hosting capacity in electric distribution network in the presence of correlated uncertainties,"IET Generation, Transmission and Distribution",2021-03-01,41,2,10.1049/gtd2.12062
0,2-s2.0-85094901807,Mathematical Representation of Voltage Regulation Impact on Distribution Feeder Voltages,Conference Record of the IEEE Photovoltaic Specialists Conference,2019-06-01,6,2,10.1109/PVSC40753.2019.9198970
0,2-s2.0-85049249086,A stochastic study of harmonic voltage distortion considering single-phase photovoltaic inverters,"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP",2018-06-08,9,2,10.1109/ICHQP.2018.8378889
0,2-s2.0-85060789161,A Multiobjective Voltage Unbalance Factor for PV Hosting Capacity with Probabilistic ZIP Load Models,IEEE Power and Energy Society General Meeting,2018-12-21,21,2,10.1109/PESGM.2018.8586579
0,2-s2.0-85095136170,Distributed generation in deregulated energy markets and probabilistic hosting capacity decision-making challenges,Decision Making Applications in Modern Power Systems,2019-01-01,30,2,10.1016/B978-0-12-816445-7.00009-8
0,2-s2.0-85101778478,Voltage Control of Distribution Networks to Increase their Hosting Capacity in South Korea,Journal of Electrical Engineering and Technology,2021-05-01,22,2,10.1007/s42835-021-00682-z
0,2-s2.0-85070610756,Allowable Capacity Estimation of DGs for New 70 kV Transmission System in Korea,"Proceedings - 2019 IEEE 1st Global Power, Energy and Communication Conference, GPECOM 2019",2019-06-01,11,2,10.1109/GPECOM.2019.8778564
0,2-s2.0-85087968081,A generalised deterministic approach to evaluate PV hosting capacity of LV distribution networks under different operating conditions,Hosting Capacity for Smart Power Grids,2020-01-01,9,2,10.1007/978-3-030-40029-3_7
0,2-s2.0-85079054762,Impacts of Voltage-based Grid Support Functions on Energy Production of PV Customers,IEEE Power and Energy Society General Meeting,2019-08-01,15,2,10.1109/PESGM40551.2019.8973469
0,2-s2.0-85063955807,Enhancing Distribution System Hosting Capacity through Active Network Management,"2018 IEEE Conference on Technologies for Sustainability, SusTech 2018",2019-03-18,7,2,10.1109/SusTech.2018.8671376
0,2-s2.0-85097149889,Minigrid integration in sub-Saharan Africaidentifying the 'optimal' point of connection,"6th IEEE International Energy Conference, ENERGYCon 2020",2020-09-28,24,2,10.1109/ENERGYCon48941.2020.9236457
0,2-s2.0-85102743898,Behavioural study of a remote power system with high PV penetration during a state of emergency,"Proceedings - 2020 International Conference on Smart Grids and Energy Systems, SGES 2020",2020-11-01,22,2,10.1109/SGES51519.2020.00110
0,2-s2.0-85059909247,Residential Advanced Photovoltaic Inverter Pilot Study Results for Select Distribution Secondaries in Hawai'i,"2018 IEEE 7th World Conference on Photovoltaic Energy Conversion, WCPEC 2018 - A Joint Conference of 45th IEEE PVSC, 28th PVSEC and 34th EU PVSEC",2018-11-26,12,2,10.1109/PVSC.2018.8548182
0,2-s2.0-85124801469,Modelling and Control Development of an MVDC Converter Implemented for Albaha Power Network,"2021 5th International Conference on Power and Energy Engineering, ICPEE 2021",2021-01-01,13,2,10.1109/ICPEE54380.2021.9662568
0,2-s2.0-85075900801,A Two-stage Approach for Renewable Hosting Capacity Assessment,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,13,2,10.1109/ISGTEurope.2019.8905598
0,2-s2.0-85117092062,Distributed energy resource placement considering hosting capacity by combining teaching–learning-based and honey-bee-mating optimisation algorithms,Applied Soft Computing,2021-12-01,48,2,10.1016/j.asoc.2021.107953
0,2-s2.0-85127466693,Probabilistic Assessment of PV Hosting Capacity Under Coordinated Voltage Regulation in Unbalanced Active Distribution Networks,IEEE Access,2022-01-01,46,2,10.1109/ACCESS.2022.3163595
0,2-s2.0-85128110135,Optimal Design of Passive Power Filters Using the MRFO Algorithm and a Practical Harmonic Analysis Approach including Uncertainties in Distribution Networks,Energies,2022-04-01,58,2,10.3390/en15072566
0,2-s2.0-85120380055,Design and analysis of optimal passive filters for increasing the harmonic-constrained hosting capacity of inverter-based DG systems in non-sinusoidal grids,Electrical Engineering,2022-06-01,50,2,10.1007/s00202-021-01415-1
0,2-s2.0-85126579793,Innovative approaches for assessing and enhancing the hosting capacity of PV-rich distribution networks: An Australian perspective,Renewable and Sustainable Energy Reviews,2022-06-01,121,2,10.1016/j.rser.2022.112365
0,2-s2.0-85070672931,A MPC based peak shaving application for a household with photovoltaic battery system,Communications in Computer and Information Science,2019-01-01,25,2,10.1007/978-3-030-26633-2_3
0,2-s2.0-85122872035,Maximum Hosting Capacity of Photovoltaic Generation in SOP-Based Power Distribution Network Integrated With Electric Vehicles,IEEE Transactions on Industrial Informatics,2022-11-01,35,2,10.1109/TII.2022.3140870
0,2-s2.0-85072824958,Monte carlo analysis of high penetration residential solar voltage impacts using high performance computing,IEEE International Conference on Electro Information Technology,2019-05-01,24,2,10.1109/EIT.2019.8833863
0,2-s2.0-85052216927,Clustering Methods and Validation of Representative Distribution Feeders,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,2018-08-17,14,2,10.1109/TDC.2018.8440137
0,2-s2.0-85121837243,Enhancing pv hosting capacity using voltage control and employing dynamic line rating,Energies,2022-01-01,47,2,10.3390/en15010134
0,2-s2.0-85115023660,Voltage Assessment of High PV Penetration in Radial Power Distribution Network,IOP Conference Series: Earth and Environmental Science,2021-08-19,15,2,10.1088/1755-1315/838/1/012009
0,2-s2.0-85116550631,Probabilistic impact assessment of residential BESSs on the HC of LV distribution systems,International Journal of Electrical Power and Energy Systems,2022-03-01,31,2,10.1016/j.ijepes.2021.107652
0,2-s2.0-85104330842,"Dataset for generating synthetic residential low-voltage grids in Sweden, Germany and the UK",Data in Brief,2021-06-01,13,2,10.1016/j.dib.2021.107005
0,2-s2.0-85075877552,The Role of Aleatory and Epistemic Uncertainties in a Stochastic Hosting Capacity Approach for Solar PV,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,10,2,10.1109/ISGTEurope.2019.8905523
0,2-s2.0-85087981883,Effect of harmonics due to distributed energy resources on hosting capacity of microgrid: A hardware in loop-based assessment,Hosting Capacity for Smart Power Grids,2020-01-01,35,2,10.1007/978-3-030-40029-3_4
0,2-s2.0-85040175942,Multi-level control framework for enhanced flexibility of active distribution network,"2017 IEEE Power and Energy Society Innovative Smart Grid Technologies Conference, ISGT 2017",2017-10-26,31,2,10.1109/ISGT.2017.8085963
0,2-s2.0-85081363337,Segmentation Algorithm for Maximum Hosting Capacity of Distributed Generator Accessing to Distribution Network Considering Multiple Constraints 计及多约束的多分布式电源接入配电网最大承载力分段算法,Dianli Xitong Zidonghua/Automation of Electric Power Systems,2020-02-25,20,2,10.7500/AEPS20190610004
0,2-s2.0-85090913309,Continuation power flow based distributed energy resource hosting capacity estimation considering renewable energy uncertainty and stability in distribution systems,Energies,2020-09-01,27,2,10.3390/en13174367
0,2-s2.0-85073351960,Analysis of Smart Technical Measures Impacts on der and EV Hosting Capacity Increase in LV and MV Grids in the Czech Republic in Terms of European Project InterFlex,SEST 2019 - 2nd International Conference on Smart Energy Systems and Technologies,2019-09-01,9,2,10.1109/SEST.2019.8849135
0,2-s2.0-85100837688,Review of studies and operational experiences of PV hosting capacity improvement by smart inverters,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",2020-11-09,18,2,10.1109/EPEC48502.2020.9320116
0,2-s2.0-85056494861,Technical solutions for increasing der and EV hosting capacity in the Czech Republic in terms of European project interflex,"2018 International Conference on Smart Energy Systems and Technologies, SEST 2018 - Proceedings",2018-10-17,11,2,10.1109/SEST.2018.8495808
0,2-s2.0-85077342770,A review on voltage control for distribution systems with large-scale distributed photovoltaic power integration,IOP Conference Series: Earth and Environmental Science,2019-12-13,28,2,10.1088/1755-1315/371/5/052027
0,2-s2.0-85067628879,Beyond Hosting Capacity: Using Shortest-Path Methods to Minimize Upgrade Cost Pathways,IEEE Journal of Photovoltaics,2019-07-01,14,2,10.1109/JPHOTOV.2019.2904540
0,2-s2.0-85103437011,Grid value investigation of medium-voltage back-to-back converters,"2021 IEEE Power and Energy Society Innovative Smart Grid Technologies Conference, ISGT 2021",2021-02-16,17,2,10.1109/ISGT49243.2021.9372266
0,2-s2.0-85108958843,Generating low-voltage grid proxies in order to estimate grid capacity for residential end-use technologies: The case of residential solar PV,MethodsX,2021-01-01,43,2,10.1016/j.mex.2021.101431
0,2-s2.0-85106399271,Comparison of Different References When Assessing PV HC in Distribution Networks,Clean Technologies,2021-03-01,16,2,10.3390/cleantechnol3010008
0,2-s2.0-85059983908,Grid integration of the small generation units in LV distribution networks,"2018 International Conference on Applied and Theoretical Electricity, ICATE 2018 - Proceedings",2018-11-28,19,2,10.1109/ICATE.2018.8551370
0,2-s2.0-85105231620,Energy limit of oil-immersed transformers: A concept and its application in different climate conditions,"IET Generation, Transmission and Distribution",2021-02-01,112,2,10.1049/gtd2.12036
0,2-s2.0-85134297692,Assessment and Enhancement of Uncertain Renewable Energy Hosting Capacity With/out Voltage Control Devices in Distribution Grids,IEEE Systems Journal,2022-01-01,,1,10.1109/JSYST.2022.3180779
0,2-s2.0-85099156310,Voltage sensitivity analysis based pv hosting capacity evaluation considering uncertainties,IEEE Power and Energy Society General Meeting,2020-08-02,19,1,10.1109/PESGM41954.2020.9281896
0,2-s2.0-85074171420,Application of static network reconfiguration to minimize power consumption from grid for photovoltaic systems,Journal of Physics: Conference Series,2019-09-12,9,1,10.1088/1742-6596/1311/1/012006
0,2-s2.0-85055555924,Optimal Placement of Voltage Regulators for Photovoltaic Hosting Capacity Maximization,"International Conference on Innovative Smart Grid Technologies, ISGT Asia 2018",2018-09-18,13,1,10.1109/ISGT-Asia.2018.8467940
0,2-s2.0-85099117591,Active network management in LV networks: A case study in the UK,IEEE Power and Energy Society General Meeting,2020-08-02,18,1,10.1109/PESGM41954.2020.9281406
0,2-s2.0-85090474931,Harmonic Allocation Allowing for Uncertainty of Distributed Generation in MV/LV Power Systems,"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP",2020-07-01,4,1,10.1109/ICHQP46026.2020.9177895
0,2-s2.0-84877255980,Advanced voltage regulation system for MV networks with DG: Prospective technical and economic performances,CIGRE 2011 Bologna Symposium - The Electric Power System of the Future: Integrating Supergrids and Microgrids,2011-12-01,15,1,
0,2-s2.0-85127975021,PV Hosting Capacity Estimation in Low Voltage Feeders Through Bayesian Statistical Inference,"Proceedings of 2022 12th International Conference on Power, Energy and Electrical Engineering, CPEEE 2022",2022-01-01,12,1,10.1109/CPEEE54404.2022.9738661
0,2-s2.0-85075902262,Wide Area Monitoring Protection and Control Systems: The enablers for enhancing renewable energy hosting capacity,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,16,1,10.1109/ISGTEurope.2019.8905587
0,2-s2.0-85007559031,Increased hosting capacity by means of active power curtailment,IET Conference Publications,2016-01-01,13,1,
0,2-s2.0-85104343601,Investigating small modular reactor's design limits for its flexible operation with photovoltaic generation in microcommunities,Journal of Nuclear Engineering and Radiation Science,2021-03-01,31,1,10.1115/1.4048896
0,2-s2.0-85105367017,Photovoltaic hosting ability evaluation and optimum capacity research of distribution networks node based on annual time-series curve 基于年时序曲线的配电网节点光伏接纳能力评估及最佳容量研究,Taiyangneng Xuebao/Acta Energiae Solaris Sinica,2021-04-28,15,1,10.19912/j.0254-0096.tynxb.2018-1227
0,2-s2.0-85086631170,Selection of Pilot Nodes for Fuzzy Voltage Regulation in Distribution Systems,"2019 9th International Conference on Power and Energy Systems, ICPES 2019",2019-12-01,20,1,10.1109/ICPES47639.2019.9105533
0,2-s2.0-85097322137,Distribution Network Reconfiguration to Minimize Power Loss Using Deep Reinforcement Learning,Transactions of the Korean Institute of Electrical Engineers,2020-11-01,26,1,10.5370/KIEE.2020.69.11.1659
0,2-s2.0-85075898529,Pilot Nodes Searching for Voltage Regulation in Distribution Systems by OLTC,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,18,1,10.1109/ISGTEurope.2019.8905642
0,2-s2.0-85101642418,Quantified flexibility of energy storage system to improve distributed generator penetration in active distribution network,"2020 IEEE 4th Conference on Energy Internet and Energy System Integration: Connecting the Grids Towards a Low-Carbon High-Efficiency Energy System, EI2 2020",2020-10-30,22,1,10.1109/EI250167.2020.9346838
0,2-s2.0-85112373533,Impact of flexibility on low-voltage networks' hosting capacity - Belgium experimentation,CIRED - Open Access Proceedings Journal,2020-01-01,5,1,10.1049/oap-cired.2021.0308
0,2-s2.0-85122098382,Hybrid Open Points: An Efficient Tool for Increasing Network Capacity in Distribution Systems,IEEE Transactions on Power Delivery,2022-04-01,14,1,10.1109/TPWRD.2021.3136772
0,2-s2.0-85132895537,Optimal energy storage planning for stacked benefits in power distribution network,Renewable Energy,2022-08-01,42,1,10.1016/j.renene.2022.06.029
0,2-s2.0-85092044728,Increasing ro of top photovoltaic hosting capacity using optimal placement for voltage improvement in secondary distribution network,"2020 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems, icABCD 2020 - Proceedings",2020-08-01,18,1,10.1109/icABCD49160.2020.9183855
0,2-s2.0-85099600979,Value of Energy Storage as Non-Wires Alternative for PV Integration and Stacked Services,Conference Record of the IEEE Photovoltaic Specialists Conference,2020-06-14,7,1,10.1109/PVSC45281.2020.9300514
0,2-s2.0-85099588924,Probabilistic Analysis of PV Curtailment Impact on Distribution Circuit Hosting Capacity,Conference Record of the IEEE Photovoltaic Specialists Conference,2020-06-14,8,1,10.1109/PVSC45281.2020.9300440
0,2-s2.0-85081571954,Greedy strategy and self-adaptive crossover operator based monarch butterfly optimization for simultaneous integration of renewables and battery energy storage in distribution systems,IET Conference Publications,2019-01-01,18,1,10.1049/cp.2019.0292
0,2-s2.0-85123082550,Accuracy assessment of frequency-domain models for harmonic analysis of residential type photovoltaic-distributed generation units,Solar Energy,2022-02-01,50,1,10.1016/j.solener.2021.12.057
0,2-s2.0-85117804774,Low Voltage Distribution Networks Modeling and Unbalanced (Optimal) Power Flow: A Comprehensive Review,IEEE Access,2021-01-01,388,1,10.1109/ACCESS.2021.3120803
0,2-s2.0-85099653234,Fast Hosting Capacity Analysis Considering Over-Voltage Criteria and Impact of Regulating Devices,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,2020-10-12,8,1,10.1109/TD39804.2020.9300035
0,2-s2.0-85125729852,Algorithmic Formulation for Network Resilience Enhancement by Optimal der Hosting and Placement,IEEE Access,2022-01-01,39,1,10.1109/ACCESS.2022.3154056
0,2-s2.0-85027866491,Der-what the future may hold and how to better prepare now,"Proceedings - 2017 IEEE Rural Electric Power Conference, REPC 2017",2017-06-30,8,1,10.1109/REPC.2017.12
0,2-s2.0-85053134869,Hourly-assessment of grid hosting capacity for active distribution network,"2018 International Conference on Probabilistic Methods Applied to Power Systems, PMAPS 2018 - Proceedings",2018-08-17,17,1,10.1109/PMAPS.2018.8440346
0,2-s2.0-85125659937,PV-hosting-capacity enhancement and power-quality improvement through multiobjective reconfiguration of harmonic-polluted distribution systems,International Journal of Electrical Power and Energy Systems,2022-09-01,39,1,10.1016/j.ijepes.2022.107972
0,2-s2.0-85091508447,Demonstration of communication-based three-layer-control architecture for providing network services to distribution system operators,International Transactions on Electrical Energy Systems,2020-11-01,68,1,10.1002/2050-7038.12601
0,2-s2.0-85106279432,An investigation into the potential of hosting capacity and the frequency stability of a regional grid with increasing penetration level of large-scale pv systems,Electronics (Switzerland),2021-06-01,53,1,10.3390/electronics10111254
0,2-s2.0-85073367389,Increasing DG Integration Level by Network Configuration Subset Analysis,SEST 2019 - 2nd International Conference on Smart Energy Systems and Technologies,2019-09-01,21,1,10.1109/SEST.2019.8848994
0,2-s2.0-85112371389,Placement Evaluation of Distributed Energy Storage for Integrating EV Charging and PV Solar Infrastructure,"Proceedings of the 2021 IEEE 12th International Symposium on Power Electronics for Distributed Generation Systems, PEDG 2021",2021-06-28,21,1,10.1109/PEDG51384.2021.9494193
0,2-s2.0-85138751514,Voltage unbalance due to single-phase photovoltaic inverters,CIRED - Open Access Proceedings Journal,2017-10-01,4,1,10.1049/oap-cired.2017.0357
0,2-s2.0-85064711676,An investigation of reactive-active power control approach for grid-connected pv arrays in a low voltage distribution system,Lecture Notes in Electrical Engineering,2019-01-01,9,1,10.1007/978-981-13-6447-1_27
0,2-s2.0-85040557582,Optimal loading capacity in distribution grids,"2017 North American Power Symposium, NAPS 2017",2017-11-13,20,1,10.1109/NAPS.2017.8107355
0,2-s2.0-85050335738,Practical power distance test tool based on OPF to assess feeder DG hosting capacity,"2017 IEEE Electrical Power and Energy Conference, EPEC 2017",2018-02-07,12,1,10.1109/EPEC.2017.8286214
0,2-s2.0-85066607030,Optimal Hybrid Renewable Generator for Techno-Economic Benefits in Smart Distribution Network,iEECON 2018 - 6th International Electrical Engineering Congress,2018-07-02,13,1,10.1109/IEECON.2018.8712179
0,2-s2.0-85125414066,Hosting Capacity Enhancement Through IoT-based Active Power Curtailment of PV Generation,"22nd International Middle East Power Systems Conference, MEPCON 2021 - Proceedings",2021-01-01,27,1,10.1109/MEPCON50283.2021.9686240
0,2-s2.0-85125511360,Hosting Capacity Maximization of Wind and Solar DGs in Distribution Networks Using Demand Response and Renewables Curtailment,International Journal on Energy Conversion,2021-01-01,41,1,10.15866/irecon.v9i3.20066
0,2-s2.0-85131129269,Violation-mitigation-based method for PV hosting capacity quantification in low voltage grids,International Journal of Electrical Power and Energy Systems,2022-11-01,29,1,10.1016/j.ijepes.2022.108318
0,2-s2.0-85114988269,Characterizing solar PV grid overvoltages by data blending advanced metering infrastructure with meteorology,Solar Energy,2021-10-01,39,1,10.1016/j.solener.2021.09.009
0,2-s2.0-85116639485,Increasing the RES hosting capacity in distribution systems through reconfiguration with closed-loop operation and voltage control,SEST 2021 - 4th International Conference on Smart Energy Systems and Technologies,2021-09-06,18,1,10.1109/SEST50973.2021.9543318
0,2-s2.0-85134737981,Possibilistic evaluation of photovoltaic hosting capacity on distribution networks under uncertain environment,Applied Energy,2022-10-15,38,1,10.1016/j.apenergy.2022.119681
0,2-s2.0-85128148101,Hosting capacity optimization of distributed photovoltaic in distribution network considering security boundary and coordinate configuration of SOP 计及安全边界和智能软开关协同配置的配电网分布式光伏准入容量优化,Dianli Zidonghua Shebei/Electric Power Automation Equipment,2022-04-10,24,1,10.16081/j.epae.202201024
0,2-s2.0-85126797107,Hosting Capacity Assessment of Renewable Energy Resources in Distribution Systems,"22nd International Middle East Power Systems Conference, MEPCON 2021 - Proceedings",2021-01-01,29,1,10.1109/MEPCON50283.2021.9686298
0,2-s2.0-85122928351,Supply Restoration in Active Distribution Networks Based on Soft Open Points with Embedded DC Microgrids,Mathematics,2022-01-01,44,1,10.3390/math10020211
0,2-s2.0-85121309502,Management of voltage flexibility from inverter-based distributed generation using multi-agent reinforcement learning,Energies,2021-12-01,40,1,10.3390/en14248270
0,2-s2.0-85127212470,A modified Bass model to calculate PVDG hosting capacity in LV networks,Electric Power Systems Research,2022-08-01,34,1,10.1016/j.epsr.2022.107966
0,2-s2.0-85131238201,Uncertainty quantification in low voltage distribution grids: Comparing Monte Carlo and general polynomial chaos approaches,"Sustainable Energy, Grids and Networks",2022-09-01,53,1,10.1016/j.segan.2022.100763
0,2-s2.0-85105862152,Coordinated Inverter Control to Increase Dynamic PV Hosting Capacity: A Real-Time Optimal Power Flow Approach,IEEE Systems Journal,2022-06-01,39,1,10.1109/JSYST.2021.3071998
0,2-s2.0-85075887279,Probabilistic Assessment of Photovoltaic Hosting Capacity in Finnish LV Networks,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,38,1,10.1109/ISGTEurope.2019.8905450
0,2-s2.0-85115832752,Assessment of distributed photovoltaic hosting capacity in integrated electricity and heat systems considering uncertainty,IET Energy Systems Integration,2021-09-01,29,1,10.1049/esi2.12029
0,2-s2.0-85116625109,A probabilistic conductor size selection framework for active distribution networks,Energies,2021-10-01,44,1,10.3390/en14196387
0,2-s2.0-85063164299,Urban power grids dynamic control model with photovoltaic and electric vehicles,"China International Conference on Electricity Distribution, CICED",2018-12-27,15,1,10.1109/CICED.2018.8592506
0,2-s2.0-85126945571,A Systematic Approach to Accommodate Plug-in Electric Vehicles in Distribution Networks with Optimal Integration of Distributed Generation,Lecture Notes in Electrical Engineering,2022-01-01,23,1,10.1007/978-981-16-8690-0_31
0,2-s2.0-85097601362,Convex model for estimation of single-phase photovoltaic impact on existing voltage unbalance in distribution networks,Applied Sciences (Switzerland),2020-12-02,25,1,10.3390/app10248884
0,2-s2.0-85124167006,Probabilistic Hosting Capacity Analysis via Bayesian Optimization,IEEE Power and Energy Society General Meeting,2021-01-01,16,1,10.1109/PESGM46819.2021.9637907
0,2-s2.0-85123921411,Assessment of Distributed Generation Hosting Capacity in Electric Distribution Systems by Increasing the Electric Vehicle Penetration,"Proceedings of 2021 IEEE PES Innovative Smart Grid Technologies Europe: Smart Grids: Toward a Carbon-Free Future, ISGT Europe 2021",2021-01-01,16,1,10.1109/ISGTEurope52324.2021.9640041
0,2-s2.0-85126978886,Enabling More Solar in Distribution Network with an Automated Analysis Tool,"2021 IEEE PES Innovative Smart Grid Technologies - Asia, ISGT Asia 2021",2021-01-01,20,1,10.1109/ISGTASIA49270.2021.9715632
